"ncm;nves;nves_nm;pais_origem;fob_kg_minimo_dolar_truncado;fob_kg_maximo_dolar_truncado;fob_kg_media_dolar_truncado;fob_kg_mediana_dolar_truncado;fob_kg_desvio_padrao_dolar_truncado;fob_kg_quartil1_truncado;fob_kg_quartil3_truncado;fob_ume_minimo_dolar_truncado;fob_ume_maximo_dolar_truncado;fob_ume_media_dolar_truncado;fob_ume_mediana_dolar_truncado;fob_ume_desvio_padrao_dolar_truncado;fob_ume_quartil1_truncado;fob_ume_quartil3_truncado;vmle_soma_dolar_truncado;peso_liq_soma_truncado;qtd_ume_soma_truncado;frete_minimo_dolar_truncado;frete_media_dolar_truncado;frete_mediana_dolar_truncado;frete_maximo_dolar_truncado;frete_desvio_padrao_dolar_truncado;seguro_minimo_dolar_truncado;seguro_media_dolar_truncado;seguro_mediana_dolar_truncado;seguro_maximo_dolar_truncado;seguro_desvio_padrao_dolar_truncado;ume"
"6031100;S/NVE;S/NVE;COLOMBIA;3.11;27.8;7.02;6.36;3.22;5.66;7.13;3.21;10.7;4.83;4.52;1.42;4.1;5.12;160000.0;22400.0;32100.0;75.2;590.0;379.0;5820.0;779.0;0.0;0.0;0.0;0.0;0.0;Duzia"
"6031100;S/NVE;S/NVE;EQUADOR;3.77;43.5;6.72;5.77;4.21;5.02;7.16;2.86;10.4;4.61;4.54;1.1;3.93;4.87;103000.0;16900.0;23500.0;6.34;474.0;431.0;1520.0;299.0;0.0;0.0;0.0;0.0;0.0;Duzia"
"7011000;S/NVE;S/NVE;PAISES BAIXOS (HOLANDA);1.25;1.86;1.64;1.71;0.166;1.46;1.77;1.25;1.86;1.64;1.71;0.166;1.46;1.77;1800000.0;1090000.0;1090000.0;166.0;2450.0;1410.0;11200.0;2240.0;0.0;312.0;5.01;3880.0;818.0;Quilograma"
"7011000;S/NVE;S/NVE;REINO UNIDO;1.44;1.73;1.56;1.51;0.141;1.44;1.7;1.44;1.73;1.56;1.51;0.141;1.44;1.7;234000.0;150000.0;150000.0;2510.0;3390.0;3140.0;5020.0;955.0;0.0;1.69;0.0;4.57;2.33;Quilograma"
"7019000;S/NVE;S/NVE;ARGENTINA;0.1;0.38;0.125;0.1;0.0563;0.1;0.142;0.1;0.38;0.125;0.1;0.0563;0.1;0.142;88400.0;707000.0;707000.0;1000.0;1660.0;1710.0;2500.0;343.0;0.0;8.45;7.95;79.5;15.7;Quilograma"
"7031019;S/NVE;S/NVE;ARGENTINA;0.175;0.975;0.22;0.19;0.118;0.19;0.19;0.175;0.975;0.22;0.19;0.118;0.19;0.19;8490000.0;38800000.0;38800000.0;122.0;1650.0;1600.0;6630.0;594.0;0.0;1.58;0.0;63.5;5.4;Quilograma"
"7031019;S/NVE;S/NVE;CHILE;0.45;1.25;0.657;0.625;0.135;0.575;0.675;0.45;1.25;0.657;0.625;0.135;0.575;0.675;5860000.0;8950000.0;8950000.0;622.0;2530.0;2500.0;14300.0;893.0;0.0;16.7;0.0;185.0;27.3;Quilograma"
"7031019;S/NVE;S/NVE;PAISES BAIXOS (HOLANDA);0.592;0.682;0.647;0.646;0.0184;0.645;0.651;0.592;0.682;0.647;0.646;0.0184;0.645;0.651;957000.0;1470000.0;1470000.0;717.0;1970.0;1420.0;6570.0;1380.0;0.0;463.0;370.0;4720.0;885.0;Quilograma"
"7032090;S/NVE;S/NVE;ARGENTINA;0.4;4.37;1.3;1.14;0.644;0.9;1.51;0.4;4.37;1.3;1.14;0.644;0.9;1.51;19000000.0;14800000.0;14800000.0;197.0;2310.0;2000.0;7500.0;918.0;0.0;45.4;1.55;258.0;53.5;Quilograma"
"7032090;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;1.1;1.83;1.3;1.19;0.257;1.14;1.31;1.1;1.83;1.3;1.19;0.257;1.14;1.31;1250000.0;981000.0;981000.0;4400.0;9340.0;8000.0;16000.0;4320.0;100.0;214.0;130.0;480.0;162.0;Quilograma"
"7092000;S/NVE;S/NVE;PERU;2.08;6.26;4.54;4.87;1.0;3.97;5.25;2.08;6.26;4.54;4.87;1.0;3.97;5.25;342000.0;79200.0;79200.0;996.0;2810.0;2870.0;7480.0;1390.0;0.0;0.582;0.0;5.04;1.56;Quilograma"
"7102100;S/NVE;S/NVE;BELGICA;1.19;1.62;1.36;1.33;0.126;1.29;1.4;1.19;1.62;1.36;1.33;0.126;1.29;1.4;233000.0;178000.0;178000.0;54.7;277.0;247.0;649.0;215.0;0.0;40.1;0.0;173.0;68.6;Quilograma"
"7102100;S/NVE;S/NVE;ESPANHA;1.1;1.6;1.33;1.35;0.138;1.23;1.42;1.1;1.6;1.33;1.35;0.138;1.23;1.42;405000.0;314000.0;314000.0;182.0;933.0;682.0;3250.0;717.0;0.0;26.7;30.4;88.9;28.3;Quilograma"
"7102100;S/NVE;S/NVE;PORTUGAL;1.12;1.41;1.27;1.24;0.116;1.17;1.4;1.12;1.41;1.27;1.24;0.116;1.17;1.4;343000.0;278000.0;278000.0;159.0;2100.0;1690.0;5060.0;2000.0;0.0;49.3;41.4;113.0;40.3;Quilograma"
"7102200;S/NVE;S/NVE;BELGICA;1.07;1.25;1.17;1.18;0.0727;1.11;1.22;1.07;1.25;1.17;1.18;0.0727;1.11;1.22;91700.0;79500.0;79500.0;39.6;305.0;198.0;876.0;320.0;0.0;13.3;0.0;50.4;21.6;Quilograma"
"7103000;S/NVE;S/NVE;BELGICA;0.789;1.08;0.924;0.919;0.104;0.87;0.979;0.789;1.08;0.924;0.919;0.104;0.87;0.979;74000.0;84900.0;84900.0;13.3;303.0;212.0;653.0;286.0;0.0;11.1;0.0;40.2;16.5;Quilograma"
